DATE,USER,MESSAGE
2024-03-25 10:40:06,알수없음,4월5일 들어가서 6일7일 운동후 복귀 2인부부 인데가능할까요? 광주입니다
2024-03-25 10:45:28,캐리골프투어,네 안녕하세요~ 어떤 상품 보셨을까요?
2024-03-25 10:45:56,알수없음,타로본건없습니다 조인을 해야해서
2024-03-25 10:47:37,캐리골프투어,선호하시는 구장과 시간대 숙박이 있으실까요?
2024-03-25 10:48:27,알수없음,구장. 인원 정해지면 그다음숙박 잡을려구요
2024-03-25 10:52:37,캐리골프투어,네 그러시면 4/6일 2부 7일 1부로 조인 구장 확인해드리면 될까요? 패키지 상품도 가능하고요
2024-03-25 10:55:02,알수없음,네 알겠습니다 
2024-03-25 11:04:16,캐리골프투어,"🗓 4/6(토)  ⛳블랙스톤 8시후반대
👉 300,000 💑 커플조인대기

🗓 4/7(일) ⛳더시에나 8시중반대
👉 185,000 💑 커플조인대기"
2024-03-25 11:04:38,캐리골프투어,바로 확인되는 조인건입니다.
2024-03-25 12:14:02,알수없음,네 협의후 점심뒤에 연락드릴게요
2024-03-25 12:14:26,캐리골프투어,네네 알겠습니다~
2024-03-25 15:22:29,알수없음,집사람이. 다른 사이트에서 알아본데 있다고 취소해달라하네요. 신경써주셨는데 죄송합니다
2024-03-25 15:38:53,캐리골프투어,네네 다음기회에 뵙겠습니다  감사합니다.
2024-03-25 15:40:17,알수없음,네~~감사합니다 
2024-03-25 15:43:58,캐리골프투어,네네 편안한 라운딩 되세요~~
