DATE,USER,MESSAGE
2024-07-19 12:20:38,Beautiful day!!,"9/15~17
추석일정표 알수있나요?"
2024-07-19 12:22:27,캐리골프투어,안녕하세요 혹시 이상품 보셨을까요?
2024-07-19 12:22:33,캐리골프투어,사진
2024-07-19 12:23:57,Beautiful day!!,넵 
2024-07-19 12:24:09,캐리골프투어,네 몇분이실까요?
2024-07-19 12:24:25,Beautiful day!!,3인인데 요
2024-07-19 12:24:44,캐리골프투어,죄송하지만 4인부터 출발 가능하십니다.
2024-07-19 12:24:55,Beautiful day!!,4인요금내고 칠수 있나요
2024-07-19 12:25:29,캐리골프투어,네 확인 후 안내드려도 될까요?
2024-07-19 12:25:40,Beautiful day!!,넵 
2024-07-19 12:25:48,캐리골프투어,네 감사합니다^^
2024-07-19 13:14:36,캐리골프투어,"확인 결과 3인 플레이 가능하십니다.
항공은 3인,
호텔은 1인1실 싱글룸비용 추가,
골프는 3인 그린피와 4인 그린피 동일하십니다."
2024-07-19 15:29:26,캐리골프투어,"⛳추석 골프투어(일정표)⛳

■ [제주] 추석 2색 골프 (3인)
9/15(일) 김포 출발 2박3일

▶ 견적가: 94만원/1인 (3인공통)
▶ 싱글룸 비용: 8만원/2박/1인 (싱글룸 사용1인)

1. 2인1실 사용자: 94만원/1인
2. 2인1실 사용자: 94만원/1인
3. *1인1실 사용자: 102만원/1인

✈항공⛳골프일정(36홀)

▷9/15(일) 07:10 김포출발 (에어부산)

[1일] 12시대 / 한라산cc 또는 오라cc(대중제)
[2일] 8시대 / 오라cc(대중제) 또는 한라산cc
[3일] 자유일정

▷9/17(화) 19:15 제주출발 (에어부산)

ⓞ 포함사항
[항공] 왕복 항공권
[골프] 36홀 그린피
[차량] 렌트카(SUV)
[숙박] 4성급 글로스터 호텔(2인1실)
https://naver.me/x4buYCgM

ⓧ 불포함사항
[기타] 카트비(10만원/1팀), 캐디피(15만원/1팀)
[식사] 전 일정 식사"
2024-07-19 15:33:36,캐리골프투어,"⛳추석 골프투어(일정표)⛳

■ [제주] 추석 2색 골프 (3인)
9/15(일) 김포 출발 2박3일

▶ 견적가: 93만원/1인 (3인공통)
▶ 싱글룸 비용: 8만원/2박/1인 (싱글룸 사용1인)

1. 2인1실 사용자: 93만원/1인
2. 2인1실 사용자: 93만원/1인
3. *1인1실 사용자: 101만원/1인

✈항공⛳골프일정(36홀)

▷9/15(일) 07:10 김포출발 (에어부산)

[1일] 12시대 / 아덴힐cc 또는 오라cc(대중제)
[2일] 8시대 / 오라cc(대중제) 또는 아덴힐cc
[3일] 자유일정

▷9/17(화) 19:15 제주출발 (에어부산)

ⓞ 포함사항
[항공] 왕복 항공권
[골프] 36홀 그린피
[차량] 렌트카(SUV)
[숙박] 4성급 글로스터 호텔(2인1실)
https://naver.me/x4buYCgM

ⓧ 불포함사항
[기타] 카트비(10만원/1팀), 캐디피(15만원/1팀)
[식사] 전 일정 식사"
2024-07-19 15:34:11,캐리골프투어,한라산CC가 3인 플레이가 불가 할 수도 있어 2가지 견적 모두 안내드립니다.
2024-07-19 15:34:50,캐리골프투어,해외 여행은 2박3일에 150만원 넘어간다는 점 참고 부탁드립니다. 어렵게 항공 잡아서 판매하는 추석 제주 상품입니다^^
2024-07-19 15:35:36,캐리골프투어,"3일차 자유일정일에 골프 원하시면
3인 플레이 가능한 구장으로 안내 가능하십니다.
그린피는 17~18만원/1인 입니다^^"
2024-07-19 15:52:33,Beautiful day!!,"3일차 골프 안하면
일정은 어떻게
되나여~
일정표가 시간별로
보내주세요 "
2024-07-19 16:20:20,캐리골프투어,"[1일] 12시대 / 한라산cc 또는 오라cc(대중제)
[2일] 8시대 / 오라cc(대중제) 또는 한라산cc
[3일] 자유일정
--------------------------
[1일] 12시대 / 아덴힐cc 또는 오라cc(대중제)
[2일] 8시대 / 오라cc(대중제) 또는 아덴힐cc
[3일] 자유일정"
2024-07-19 16:21:02,캐리골프투어,참고 부탁드립니다^^
2024-07-19 16:21:38,캐리골프투어,확정 주시면 정확한 티업시간 안내 가능합니다.
2024-07-19 16:22:15,Beautiful day!!,자유일정은 자유관광인가요
2024-07-19 16:22:44,캐리골프투어,네 맞습니다 자유관광이십니다^^
