DATE,USER,MESSAGE
2024-03-27 18:38:52,Fantastic sword,4월26 27 28일 제주가는데요
2024-03-27 18:38:52,캐리골프투어,채팅 운영시간 안내
2024-03-27 18:38:52,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 18:39:21,Fantastic sword,뱅기시간때문에 티업시간이?
2024-03-27 18:39:21,캐리골프투어,채팅 운영시간 안내
2024-03-27 18:39:21,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:12:35,Fantastic sword,4월23일 화욜 출발 2인가능한가요?
2024-03-27 19:12:35,캐리골프투어,채팅 운영시간 안내
2024-03-27 19:12:35,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:17:43,캐리골프투어,안녕하세요
2024-03-27 19:18:49,Fantastic sword,4월23일 화욜 출발 2인가능한가요?
2024-03-27 19:18:50,캐리골프투어,채팅 운영시간 안내
2024-03-27 19:18:50,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:19:00,캐리골프투어,채팅 운영시간 안내
2024-03-27 19:19:00,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:19:00,Fantastic sword,네~
2024-03-27 19:20:01,캐리골프투어,어떤 상품 보셨는지요?
2024-03-27 19:23:23,Fantastic sword,사진
2024-03-27 19:23:23,캐리골프투어,채팅 운영시간 안내
2024-03-27 19:23:23,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:27:50,캐리골프투어,"네 안녕하세요 문의주셔서 감사드립니다.~
문의 주신 사항 확인후 안내드리겠습니다."
2024-03-27 19:36:38,캐리골프투어,죄송하지만  바로 조인은 어려우실 것 같습니다.
2024-03-27 19:37:23,캐리골프투어,"우선 해당패키지 상품 조인대기 요청후 기다려보고 조인여부에 따라 진행해야 될것
같습니다.

진행하신다고 하시면
예약금 20만원 입금후 희망하시는 일정과
조인대기자정보(성함/성별/연령/타수) 보내주시면 등록후 조인여부 연락드리겠습니다

조인실패시 예약금은 전액 반환드릴예정입니다.

계좌안내입니다.>
국민 캐리골프투어 680401-00-036929"
2024-03-27 20:07:18,Fantastic sword,대략적인 티업시간 알수있을까요?
2024-03-27 20:07:18,캐리골프투어,채팅 운영시간 안내
2024-03-27 20:07:18,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 20:10:05,캐리골프투어,죄송하지만 제가 퇴근을 해서 내일 오전에 확인해드려도 되실까요?
2024-03-27 20:27:52,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 20:27:52,Fantastic sword,네 낼 연락주세요
2024-03-27 20:27:52,캐리골프투어,채팅 운영시간 안내
2024-03-27 20:51:37,캐리골프투어,네 알겠습니다 연락드리겠습니다
2024-03-28 11:32:10,캐리골프투어,"안녕하세요 
문의주신 부분 안내드립니다. 

블랙스톤CC 18홀 2부 12~13시대
테디밸리CC 18홀 1부 07~08시대"
2024-03-28 12:13:19,Fantastic sword,블랙스톤이 첫째날 테디밸리가 마지막날 맞죠? 중간이 롯데스카이힐이구요
2024-03-28 12:21:06,캐리골프투어,"네 맞습니다. 
2부 - 1부 - 1부 입니다."
2024-03-28 14:26:03,Fantastic sword,20만원 예약금 입금하고 다시 톡드리면되나요?
2024-03-28 14:26:59,Fantastic sword,4월23 24 25일 2명입니다
2024-03-28 14:33:16,캐리골프투어,"네 맞습니다. 
입금자명 알려주시면 되세요"
2024-03-28 14:39:06,Fantastic sword,박용남 이름으로 20만원 입금했습니다 
2024-03-28 14:41:44,캐리골프투어,"네네네 입금 확인했습니다
대기 접수 진행해두겠습니다.
명단도 부탁드립니다."
2024-03-28 15:37:50,Fantastic sword,박용남 김나윤 남녀 40후반 80대타수
2024-03-28 15:38:48,캐리골프투어,네 확인 감사합니다.
2024-03-28 15:56:23,Fantastic sword,언제정도까지 기다리면되죠?
2024-03-28 16:01:42,캐리골프투어,늦어도 4월 둘째주까지 진행해보고 말씀드리겠습니다^^
2024-03-29 21:46:01,Fantastic sword,죄송합니다 취소할께요 예약금환불요청가능하죠?
2024-03-29 21:46:01,캐리골프투어,채팅 운영시간 안내
2024-03-29 21:46:01,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-29 23:12:27,캐리골프투어,네 안녕하세요 말씀하신 환불 가능합니다. 화불을 받으실 계좌번호 남겨주시면 환불 진행해드리도록 하겠습니다. ~~
2024-03-30 12:22:22,Fantastic sword,하나 139 910125 57707 박용남입니다
2024-03-30 12:42:24,캐리골프투어,"03/30 12:41 신진아（캐리골프투어）님이 박용남님의 계좌  139910**707로 200,000원을 보냈습니다."
2024-03-30 12:42:58,캐리골프투어,환불완료드렸습니다~
