DATE,USER,MESSAGE
2024-08-13 14:25:02,For My Under Par,네
2024-08-13 14:25:46,For My Under Par,"아오모리 4박5일 견적서 부탁합니다
2인
인천 출발"
2024-08-13 14:25:46,캐리골프투어,네 알겠습니다. 확인 후 안내드리겠습니다.
2024-08-13 16:09:13,캐리골프투어,"*상품구성 :
■항공 :
9/19(목) 인천-아오모리 KE767    08:10
9/23(월) 아오모리-인천 KE768    12:40

■9/19(목) 아오모리 와이너리 호텔 (2인 1실) 4박 1객실
■9/19(목) 아오모리 로얄 18홀
■9/20(금) 아오모리 로얄 27홀
■9/21(토) 아오모리 로얄 27홀
■9/22(일) 아오모리 로얄 27홀

포함 : 왕복항공료, 와이너리호텔<2인1실>, 조식, 석식, 온천 입욕료, 그린피, 카트피, 공항 ↔ 호텔 송영, 여행자보험
불포함 : 중식

1인 견적가: 1,890,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,010,000원 (1인 455,000원(항공비)+50,000원)×2

- 예약금 결제일 : ~08월13일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,770,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,780,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-08-13 16:10:57,캐리골프투어,사진
2024-08-13 16:12:09,캐리골프투어,견적 안내드립니다. 기존 견적에서 항공권 가격이 1인 10만원 정도 떨어졌습니다
2024-08-13 16:12:30,캐리골프투어,사진
2024-08-13 16:12:52,캐리골프투어,담당자 연락처 드립니다.
2024-08-13 16:34:44,For My Under Par,5만원은 무슨 비용
2024-08-13 16:35:41,캐리골프투어,"기본적으로 예약금은 항공비 + 50,000원 
이렇게 받고 있습니다."
2024-08-13 16:35:53,For My Under Par,아넵
2024-08-13 16:36:05,캐리골프투어,네 감사합니다^^
2024-08-14 11:11:42,캐리골프투어,안녕하세요 구마모토 3박4일 일정 견적 안내드립니다.
2024-08-14 11:11:43,캐리골프투어,"*상품구성 :
■항공 :
9/19(목) 인천-구마모토 TW725 07:55
9/23(월) 구마모토-인천 TW276 11:25

■9/19(목) 워싱턴 프라자 호텔(2인1실) 3박 1객실
■9/19(목) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/20(금) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/21(토) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳

포함 : 왕복항공료, 워싱턴프라자호텔<2인1실>, 조식, 그린피, 카트피, 공항 ↔ 호텔 송영
불포함 : 중식, 석식, 여행자보험

1인 견적가: 1,680,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,010,000원 (1인 455,000원(항공비)+50,000원)×2

- 예약금 결제일 : ~08월14일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,350,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,360,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-08-14 11:12:13,캐리골프투어,사진
2024-08-14 11:14:05,캐리골프투어,현재 호텔잔여가 1객실 남아있어서요 빠른회신부탁드립니다^^
2024-08-14 11:14:21,캐리골프투어,야마구치 상품은 확인 되는대로 견적 안내드리겠습니다.
2024-08-14 11:20:42,캐리골프투어,"*상품구성 :
■항공 :
9/19(목) 인천-구마모토 TW725 07:55
9/22(일) 구마모토-인천 TW276 10:25

■9/19(목) 워싱턴 프라자 호텔(2인1실) 3박 1객실
■9/19(목) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/20(금) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/21(토) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳

포함 : 왕복항공료, 워싱턴프라자호텔<2인1실>, 조식, 그린피, 카트피, 공항 ↔ 호텔 송영
불포함 : 중식, 석식, 여행자보험

1인 견적가: 1,680,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,010,000원 (1인 455,000원(항공비)+50,000원)×2

- 예약금 결제일 : ~08월14일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,350,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,360,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-08-14 11:20:58,캐리골프투어,리턴 비행기 시간 정정 안내드립니다.
2024-08-14 14:35:54,캐리골프투어,제 명함 다시 보내드립니다.
2024-08-14 14:35:57,캐리골프투어,사진
2024-08-14 14:36:42,For My Under Par,네
2024-08-14 14:37:09,For My Under Par,"구마모토 아소산 3박 4일
패키지 요청드립니다"
2024-08-14 14:38:45,캐리골프투어,사진
2024-08-14 14:38:53,캐리골프투어,말씀주신 상품이 이상품 아니실까요?
2024-08-14 15:09:20,For My Under Par,넵
2024-08-14 15:09:46,캐리골프투어,"네 말씀주신 상품 견적 위에 안내드렸습니다. 
다시 한번 안내드립니다^^"
2024-08-14 15:09:54,캐리골프투어,"*상품구성 :
■항공 :
9/19(목) 인천-구마모토 TW725 07:55
9/22(일) 구마모토-인천 TW276 10:25

■9/19(목) 워싱턴 프라자 호텔(2인1실) 3박 1객실
■9/19(목) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/20(금) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳
■9/21(토) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐
히고오즈 / 히고선밸리 / 그랜드챔피언 / 오즈 중 한 곳

포함 : 왕복항공료, 워싱턴프라자호텔<2인1실>, 조식, 그린피, 카트피, 공항 ↔ 호텔 송영
불포함 : 중식, 석식, 여행자보험

1인 견적가: 1,680,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,010,000원 (1인 455,000원(항공비)+50,000원)×2

- 예약금 결제일 : ~08월14일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,350,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,360,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-08-14 15:10:20,캐리골프투어,사진
2024-08-14 15:14:13,캐리골프투어,"처음에 문의주셨던 아오모리 상품은 항공편 좌석이 얼마 남지 않았고, 아소산 상품은 잔여 객실이 1실만 남은 점 참고 부탁드립니다^^"
2024-09-02 13:51:13,For My Under Par,견적부탁합니다
2024-09-02 13:51:56,For My Under Par,"치앙마이
4박6일 패키지 견적부탁
하이랜드만 4일 36홀
하이랜드 골프텔
대한항공
12.21일 출발 
12.26일 복귀"
2024-09-02 14:36:42,캐리골프투어,안녕하세요 혹시 보신상품 있으실까요?
2024-09-02 14:47:28,For My Under Par,아니요 없어서요
2024-09-02 14:58:17,캐리골프투어,네 알겠습니다. 출발 공항이 어디실까요?
2024-09-02 14:58:54,For My Under Par,인천요
2024-09-02 14:59:27,캐리골프투어,네 말씀주신 일정으로 견적 확인 후 안내드리도록하겠습니다.
2024-09-02 15:50:25,For My Under Par,넵
2024-09-03 10:36:12,캐리골프투어,안녕하세요 견적서 안내드립니다^^
2024-09-03 10:36:13,캐리골프투어,"*상품구성 :
■항공 :
12/21(토) 인천-치앙마이 KE 667 18:05
12/26(목) 치앙마이-인천 KE 668 23:15
950,000원/인(유류텍스 포함가) 

■12/21(토) 하이랜드 리조트 (2인1실) 4박 1객실
■12/22(일)  하이랜드C.C 18홀 라운드 
■12/23(월)  하이랜드C.C 18홀 라운드 
■12/24(화)  하이랜드C.C 18홀 라운드 
■12/25(수)  하이랜드C.C 18홀 라운드 

포함 :  왕복항공, 리조트(2인 1실), 식사(조식), 그린피(1일 36홀)
불포함 :  클럽중식($10~/끼니), 석식, 캐디피(400바트/18홀/인), 전동카(750바트/18홀/인), 
 캐디팁(350-400바트/18홀/인), 미팅센딩차량비($100/인), 기타 개인 경비

1인 견적가: 1,250,000원

총 : 2,200,000원/인


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 400,000원 (1인 200,000원)×2

- 예약금 결제일 : ~09월03일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 4,000,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 4,400,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-09-03 10:38:21,캐리골프투어,사진
2024-09-03 10:43:01,For My Under Par,"네 견적서 풀양식으로 부탁드립니다
그리고 캐디피.카트피 포함으로도 견적 가능한가요"
2024-09-03 10:48:04,For My Under Par,하이랜드에서 신용카드도 사용가능한가요
2024-09-03 10:49:00,캐리골프투어,"캐디피 400바트
전동카 750바트
1150바트 (18홀 기준) 입니다. 
사전 결제 하실 경우 개인사정으로 현장에서 라운드 안하실 경우 환불 불가 인 점 참고 부탁드립니다^^"
2024-09-03 10:56:13,캐리골프투어,"캐디피 15,800원
전동카 29,625원
45,425원 (18홀 기준)
총 363,400원 입니다.
클럽하우스 식당은 카드 결제 가능하시고, 골프 부대비용은 현금 지불 하시면 되십니다.

견적서 정리해서 안내드리도록 하겠습니다^^"
2024-09-03 11:05:34,For My Under Par,"아하 그렇군요
캐디카트는 별도가 좋겠네요"
2024-09-03 11:05:59,For My Under Par,위견적서만
2024-09-03 11:06:08,캐리골프투어,"네 캐디피, 카트비는 별도 견적으로 견적서 정리해서 안내드리도록 하겠습니다^^"
2024-09-03 11:06:09,For My Under Par,풀양식으로 다시주셔용
2024-09-03 11:06:14,For My Under Par,넵
2024-09-03 11:06:17,캐리골프투어,네 알겠습니다^^
2024-09-03 11:08:14,캐리골프투어,사진
2024-09-03 11:08:21,캐리골프투어,견적서 안내드립니다^^
2024-09-03 12:58:28,For My Under Par,"싱글룸 가격인가요
아니면 24만윈 추가인가요"
2024-09-03 13:10:23,캐리골프투어,"네 맞습니다. 2인1실 기준 견적이고, 싱글룸으로 변경 시 240,000원 추가 되십니다^^"
2024-09-03 13:25:34,For My Under Par,넵
2024-09-05 10:47:08,For My Under Par,캐리골프 상품이 맘에 들구요
