DATE,USER,MESSAGE
2024-05-31 10:04:18,ITH,"6월22,23일 테디벨리, 블랙스톤 오전티 커플 조인 가능한가요?"
2024-05-31 10:04:39,캐리골프투어,안녕하세요 확인 후 안내드려도 될까요?
2024-05-31 10:04:45,ITH,네
2024-05-31 10:05:19,캐리골프투어,네 감사합니다.
2024-05-31 10:13:56,캐리골프투어,현재 조인 대기자가 없어서 선조인 하셔야 할 것 같습니다. 100% 책임 조건이십니다.
2024-05-31 10:14:10,캐리골프투어,"6/22 블랙스톤 12:00 선조인 
6/23 테디밸리 08:59 선조인

1인 그린피 견적가 466,000원"
2024-05-31 10:15:00,ITH,22일 오전티는 없는거죠?
2024-05-31 10:15:13,캐리골프투어,확인 후 안내드리겠습니다.
2024-05-31 10:16:40,캐리골프투어,"6/22 블랙스톤 08:00 선조인 
6/23 테디밸리 08:59 선조인

1인 그린피 견적가 466,000원"
2024-05-31 10:16:49,캐리골프투어,가능하십니다.
2024-05-31 10:17:03,ITH,네 얘기해보구 연락드릴께요.
2024-05-31 10:17:27,캐리골프투어,네 감사합니다 좋은하루 보내세요.
2024-05-31 10:48:22,ITH,"22일 8시, 23일 8시59분 진행부탁드립니다."
2024-05-31 10:48:38,ITH,010 4938 4718 임태혁
2024-05-31 10:49:42,캐리골프투어,네 정리해서 보내드리겠습니다.
2024-05-31 10:59:05,캐리골프투어,"임태혁(남1여1)님 신청 예약이 완료되었습니다

[블랙스톤, 테디벨리 예약 안내]

■골프장명: 블랙스톤CC
■예약일자: 2024-06-22(토) 
■예약시간: 08:00
■예약자명: 임태혁

■골프장명: 테디밸리CC
■예약일자: 2024-06-23(일) 
■예약시간: 08:59
■예약자명: 임태혁

▣결제금액 : 932,000원
▣결제계좌 :680401-00-036929 국민은행 캐리골프투어
* 입금자 대표자명 입금 부탁드립니다."
2024-05-31 10:59:51,ITH,네
2024-05-31 11:01:53,캐리골프투어,네 감사합니다.
2024-05-31 11:02:16,ITH,송금했어요
2024-05-31 11:03:47,캐리골프투어,"네 932,000원 입금 확인 하였습니다. 
조인 완료되면 안내드리겠습니다. 감사합니다."
2024-05-31 11:03:57,ITH,넵
2024-05-31 11:05:00,캐리골프투어,네 좋은 하루 보내세요 감사합니다.
2024-05-31 15:06:18,캐리골프투어,사진
2024-05-31 15:06:18,캐리골프투어,예약 취소 및 변경 시 약관 확인 부탁드립니다.
2024-05-31 15:08:56,ITH,강우예보에 따른 취소는 가능한거죠?
2024-05-31 15:14:50,캐리골프투어,"우천 등 날씨 관계없이 골프장 정상 운영이 된다면, 취소약관으로 처리됩니다. 임의적인 취소와 노쇼는 불가능하십니다. 보내드린 이미지 참고 부탁드립니다."
2024-05-31 18:20:02,캐리골프투어,구장에서 우천취소 선언시 환불 가능하세요.
2024-06-03 08:45:53,ITH,"사정이 생겨 22,23일 예약 신청 취소해야 할것 같은데 가능 한가요?"
2024-06-03 08:45:53,캐리골프투어,채팅 운영시간 안내
2024-06-03 08:45:53,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-06-03 09:33:42,ITH,"사정이 생겨 22,23일 예약 신청 취소해야 할것 같은데 가능 한가요?"
2024-06-03 09:49:50,캐리골프투어,네 취소 드리겠습니다. 취소 완료 후 안내드리겠습니다.
2024-06-03 13:10:32,ITH,처리가 언제 되나요?
2024-06-03 13:11:45,캐리골프투어,네 확인 후 안내드리겠습니다.
2024-06-03 13:21:12,캐리골프투어,금일 중 취소처리 도와드리겠습니다.
2024-06-03 20:00:39,캐리골프투어,취소 환불 받으실 계좌번호 부탁드립니다.
2024-06-03 20:12:11,ITH,"국민은행 559502 01 271176
임태혁 입니다."
2024-06-03 20:12:11,캐리골프투어,채팅 운영시간 안내
2024-06-03 20:12:11,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-06-03 20:29:40,캐리골프투어,네 환불 후 안내드리겠습니다.
2024-06-03 20:33:07,캐리골프투어,"932,000원 환불처리 도와드렸습니다. 편안한 밤 되세요."
2024-06-03 20:33:21,ITH,네 감사합니다.
2024-06-03 20:33:21,캐리골프투어,채팅 운영시간 안내
2024-06-03 20:33:21,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-06-03 20:33:47,캐리골프투어,네 감사합니다.
2024-08-21 13:49:11,ITH,"추석연휴 9월 16~18일
테디벨리, 블래스톤, 해비치 그린피가 어떻게 되나요?"
2024-08-21 14:01:32,캐리골프투어,안녕하세요 몇분이실까요?
2024-08-21 14:02:03,ITH,2명이요.
2024-08-21 14:02:15,캐리골프투어,네 확인 감사합니다. 견적 확인 후 안내드리겠습니다^^
2024-08-21 14:02:50,ITH,가성비 있는 구장도 추천부탁드립니다.
2024-08-21 14:03:42,캐리골프투어,네 알겠습니다. 확인 후 안내드리겠습니다^^
2024-08-21 14:21:49,캐리골프투어,"견적 안내드립니다.

9/16 그린필드 12시중반 선조인
9/17 크라운 08시후반 부부대기 
9/18 라헨느 08시후반 부부대기 

1인 그린피 견적가 467,000원
---------------------------------

9/16 해비치 대중제 12시후반 선조인 
9/17 블랙스톤 07시후반 선조인 
9/18 테디밸리 07시후반 부부대기 

1인 그린피 견적가 740,000원"
2024-08-21 14:22:08,캐리골프투어,말씀주신 구장들은 가성비 구장이 아니여서 두가지 견적 모두 안내드립니다.
2024-08-21 14:23:01,ITH,1인 그린피는 18홀X3 인거죠?
2024-08-21 14:24:53,캐리골프투어,네 맞습니다 1일 18홀 X 3일 = 54입니다.
2024-08-21 14:25:20,ITH,넵 의논하고 연락드리겠습니다.
2024-08-21 14:25:48,캐리골프투어,네 좋은하루 보내세요. 감사합니다^^
