DATE,USER,MESSAGE
2024-03-27 17:49:30,JD,사진
2024-03-27 17:52:37,캐리골프투어,네 안녕하세요
2024-03-27 17:52:55,JD,문의드립니다
2024-03-27 17:52:57,캐리골프투어,희망 일정이 어떻게 되실까요?
2024-03-27 18:05:46,JD,4월11일요
2024-03-27 18:05:46,캐리골프투어,채팅 운영시간 안내
2024-03-27 18:05:46,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:17:51,캐리골프투어,안녕하세요
2024-03-27 19:20:46,캐리골프투어,인원이 어떻게 되실까요?
2024-03-27 19:21:20,JD,2명요
2024-03-27 19:21:20,캐리골프투어,채팅 운영시간 안내
2024-03-27 19:21:20,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-27 19:22:30,캐리골프투어,확인 감사합니다. 조인가능하신데 내일 정확히 전산확인 후 안내드려도 될까요?
2024-03-27 22:56:38,JD,네 내일 연락주세요
2024-03-27 22:56:38,캐리골프투어,채팅 운영시간 안내
2024-03-27 22:56:38,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-03-28 10:49:41,캐리골프투어,안녕하세요 확인결과 죄송하지만  해당 상품은 조인 접수는 안되시고 4인 접수 가능하신 것으로 확인됩니다.
2024-03-28 11:38:18,JD,사진
2024-03-28 11:38:21,JD,문의요
2024-03-28 11:40:12,캐리골프투어,넵 해당상품이 어제 문의주셨던 상품이세요 ~
2024-03-28 11:43:19,JD,아 2인 안된다고 했던가요??
2024-03-28 11:43:53,캐리골프투어,네 맞습니다.  4인 접수만 가능하세요
2024-04-03 10:39:01,JD,사진
2024-04-03 10:39:05,JD,문의요
2024-04-03 10:40:46,캐리골프투어,네 안녕하세요
2024-04-03 10:40:59,캐리골프투어,날짜 /인원이 어떻게 되실까요?
2024-04-03 10:41:27,JD,20~21일이요
2024-04-03 10:41:31,JD,2인이구요 
2024-04-03 10:43:25,캐리골프투어,"네 확인 감사합니다. 
확인후 안내드리겠습니다"
2024-04-03 10:43:34,JD,네
2024-04-03 11:38:20,캐리골프투어,안녕하세요 확인 결과5/20  2인 접수가능하세요
2024-04-03 11:39:06,캐리골프투어,5/21일 일정은 커플 조인 대기중이라 바로 조인확정 가능하고요
2024-04-03 11:39:39,JD,이틀 패키로 이용하려고하는데요
2024-04-03 11:41:07,JD,사진
2024-04-03 11:41:16,캐리골프투어,네네 5/20.21 일정 상품과 21.22일 일정 상품 접수 가능하신데 21.22일 일정 상품은 커플조인대기자가 있어서 바로 조인확정 가능합니다
2024-04-03 11:50:52,캐리골프투어,"5/20,21일 보신 조인상품은 조인완료되었습니다."
2024-04-03 11:51:24,캐리골프투어,5/20.21일정은 신규 1팀 접수만 가능합니다.
2024-04-03 11:53:54,JD,저는 20~21일 원해서 ㅠ
2024-04-03 11:54:08,JD,알겠습니다
2024-04-03 11:55:47,캐리골프투어,20일은 신규로 접수하시고 저희가 2인 조인을 진행해드리면 됩니다.
2024-04-03 11:56:16,캐리골프투어,오늘자 1팀만 남았습니다.
2024-04-03 11:57:23,캐리골프투어,"진행안내드립니다. 

예약금 20만원 입금후 
조인대기자정보(성함/성별/연령/타수) 보내주시면 조인대기 등록후 조인여부 연락드리겠습니다

조인실패시 예약금은 전액 반환드릴예정입니다.

계좌안내입니다.>
국민 캐리골프투어 680401-00-036929"
2024-04-03 11:57:23,캐리골프투어,캐리골프투어 채널을 추가하시면 광고와 마케팅 메시지를 카카오톡으로 받아 볼 수 있습니다.
