DATE,USER,MESSAGE
2024-03-04 12:03:56,캐리골프투어,"'캐리골프투어' 입니다.  궁금한 내용이 있으면 메시지를 입력해주세요.
더 이상 채팅을 원치 않으시면 채팅목록에서 '채팅방 나가기'를 해 주세요."
2024-03-11 15:51:56,JH,4월 10.11일 2인 1박2일 조인부킹 문의합니다
2024-03-11 15:54:06,캐리골프투어,네 안녕하세요
2024-03-11 15:54:22,캐리골프투어,혹시 따로 보신 상품이 있으실까요?
2024-03-11 15:56:20,JH,블랙스톤 오라 롯데  봤어요
2024-03-11 15:58:50,캐리골프투어,네 잠시만요
2024-03-11 16:04:12,캐리골프투어,"🗓 4/10(수) ⛳라헨느 12시중반대
👉 170,000 💑 커플조인대기

🗓 4/11(목) ⛳롯데스카이힐 대중제 8시초반대
👉 159,000 💑 커플조인대기"
2024-03-11 16:04:25,캐리골프투어,조인대기 위 내용이 맞으실까요?
2024-03-11 16:16:43,JH,커플은 아니고 여자두명입니다
2024-03-11 16:17:35,캐리골프투어,위 상품 조인 희망하니는게 아니실까요?
2024-03-11 16:19:11,JH,조인 가능하다는건가요? 조인신청 따로 한건 없습니다
2024-03-11 16:20:18,캐리골프투어,네네 조인 신청 가능한 리슽트입니다. 그러시면 단체 패키지 문의 이신거 같으신데 해당 날짜는 출발 가능한 특가 상품이 없습니다.
2024-03-11 16:21:48,캐리골프투어,"스카이힐 + 블랙스톤 특가 행사
골프+호텔+렌트카 포함 
일자별 잔여티 현황 


4/22(월) 1팀 잔여
1인 380,000원

4/29(월) 1팀 잔여
1인 380,000원 

5/20(월) 3팀 잔여
1인 405,000원

5/21(화) 2팀 잔여
1인 405,000원"
2024-03-11 16:22:20,캐리골프투어,단체 특가 접수 가능한  일정은 위와 같습니다.
2024-03-11 16:23:20,JH,10일 라헨느 조인신청하고싶은데 어떻게하면 될까요?
2024-03-11 16:24:01,캐리골프투어,네 실시간이라 확인해드리겠습니다.
2024-03-11 16:25:03,JH,조인신청 부탁드려요
2024-03-11 16:25:32,캐리골프투어,네 확인후 안내드리겠습니다
2024-03-11 16:26:01,JH,감사합니다
2024-03-11 16:30:10,캐리골프투어,네 확인 결과 가능합니다.
2024-03-11 16:30:39,JH,신청하겠습니다
2024-03-11 16:32:31,캐리골프투어,"고객님 접수 진행드리겠습니다.

계좌안내입니다. >>>>

국민은행 680401-00-036929 캐리골프투어

계좌로  340.000원 송금 후
송금자명과 명단(성함/성별/대표자 연락처) 취합 부탁드립니다."
2024-03-11 16:32:56,캐리골프투어,다른 일정은 따로  필요없으실까요?
2024-03-11 16:34:57,JH,"박지현 입금
1.박지현(여) 01025806899
2.정이주(여)"
2024-03-11 16:35:53,캐리골프투어,네네 확인 감사합니다. 입금 확인했습니다.
2024-03-13 15:18:38,캐리골프투어,"안녕하세요 
조인 예약자 정보입니다.
🗓 4/10(수) ⛳라헨느 12시25분

예약자명 : 태영필
010 6240 7571"
