DATE,USER,MESSAGE
2024-09-12 20:46:31,YBM ECC,"안녕하세요.
11월 2~4일
청주에서  제주 숙박 렌트 골프 상담요청입니다."
2024-09-12 20:46:31,캐리골프투어,채팅 운영시간 안내
2024-09-12 20:46:31,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-09-12 20:47:27,캐리골프투어,안녕하세요 혹시 보신 상품 있으실까요?
2024-09-12 20:48:23,YBM ECC,라라이색 골프여
2024-09-12 20:48:23,캐리골프투어,채팅 운영시간 안내
2024-09-12 20:48:23,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-09-12 20:48:28,YBM ECC,밴드에서요
2024-09-12 20:48:28,캐리골프투어,채팅 운영시간 안내
2024-09-12 20:48:28,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-09-12 21:53:55,캐리골프투어,네 안녕하세요 일정/인원/출발공항 남겨주시면 내일 확인후 안내드리겠습니다
2024-09-12 21:58:54,캐리골프투어,네 앞서 일정과 출발공항 남겨주신건 확인했습니다.  출발인원 확인주시면 되실것 같습니다
2024-09-12 21:59:17,YBM ECC,4명입니다
2024-09-12 21:59:17,캐리골프투어,채팅 운영시간 안내
2024-09-12 21:59:17,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-09-13 09:27:27,캐리골프투어,네 견적 확인 후 안내드리도록 하겠습니다^^
2024-09-13 12:03:57,캐리골프투어,견적 안내 드립니다.
2024-09-13 12:03:58,캐리골프투어,"*상품구성 :
■항공 :
11/2(토) 청주제주 10:30  제주항공
11/4(월) 제주청주 17:30  제주항공

■11/2(토) 글로스터호텔 트윈 2박 2객실(조식불포함)
■11/2(토) 라헨느 08시대
■11/3(일) 한라산 07시대 
■11/2(토) suv 7인승차량 3일 1대

포함 :
- 왕복항공료
- 호텔료 (2인1실) 2박
- 18홀 2회 그린피
- suv 7인승차량 3일 1대

불포함 :
- 카트비
- 캐디피
- 전일정 식사


1인 견적가: 650,000원


①예약금
- 800,000원 (1인 200,000원)×4

- 예약금 결제일 : ~09월14일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 1,800,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 2,600,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
