DATE,USER,MESSAGE
2024-05-09 22:11:37,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-09 22:11:37,dj,"안녕하세요 
6월6일 연휴이정 가격얼마일까요?"
2024-05-09 22:11:37,캐리골프투어,채팅 운영시간 안내
2024-05-10 08:19:34,캐리골프투어,안녕하세요 몇분이실까요?
2024-05-10 12:14:54,dj,4명일때 6명일때 가격이 다를까요?
2024-05-10 14:01:05,캐리골프투어,가격은 동일합니다.
2024-05-10 14:01:27,캐리골프투어,오전 출발이 편하실까요? 저녁 출발이 편하실까요?
2024-05-10 15:28:27,dj,599천원 같다는건가요?
2024-05-10 15:30:57,캐리골프투어,"인원 상관 없으시고요 6/6 일정은 연휴라 1인 입금가 750,000원 입니다."
2024-05-10 15:31:33,dj,5일 저녁에 출발하면 일요일 도착인가요?
2024-05-10 15:34:44,캐리골프투어,네 맞습니다.
2024-05-10 15:36:33,dj,"저녁 몇시출발일까요?
도착시간도요"
2024-05-10 15:40:53,캐리골프투어,"인천 출발 시간 : 16시 50분
방콕 도착 시간 : 20시 30분 입니다."
2024-05-12 21:02:26,dj,"1안) 5일 저녁출발출발일때 몇일 도착 요금
2안)6일 출발일때 몇일날 도착 요금이 얼마일까요?
주말도 톡이 가능하다는걸 지금 알았네요"
2024-05-12 21:02:26,캐리골프투어,채팅 운영시간 안내
2024-05-12 21:02:27,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-12 21:03:59,캐리골프투어,채팅 운영시간 안내
2024-05-12 21:03:59,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-12 21:03:59,dj,"베스트특가에 599,000
790,000원 두가지던데 어떤상품에 해당되는지도 부탁드립니다 "
2024-05-12 22:39:44,캐리골프투어,안녕하세요 1안과 2안은 내일 오전 중으로 확인 후 안내드려도 될까요?
2024-05-12 22:43:02,캐리골프투어,"안내드렸던 상품은 파타야 3색(599,000원) 상품입니다."
2024-05-12 22:59:41,dj,내일 부탁드립니다
2024-05-12 22:59:41,캐리골프투어,채팅 운영시간 안내
2024-05-12 22:59:41,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-12 23:00:19,캐리골프투어,네 편안한 밤 되세요 감사합니다.
2024-05-13 10:24:52,캐리골프투어,안녕하세요 인원은 몇분이실까요?
2024-05-13 10:25:45,캐리골프투어,정확한 견적 산출을 위해서 정확한 출발 확정 인원 확인 부탁드립니다.
2024-05-13 12:19:17,dj,4명일때와 6명일때 부탁드립니다 
2024-05-13 12:25:16,캐리골프투어,네 확인 감사합니다.
2024-05-13 12:58:01,캐리골프투어,견적서 보내드립니다.
2024-05-13 13:03:05,캐리골프투어,사진
2024-05-13 13:04:07,캐리골프투어,"6월5일 기준 견적서입니다.
에어프레미아 마감이라서  에어부산항공으로 드렸습니다 위탁수화물 15KG 입니다."
2024-05-13 13:04:17,캐리골프투어,사진
2024-05-13 13:05:05,캐리골프투어,"6월6일 ~10일 기준 견적서입니다. 
에어프레미아항공이고,  위탁수화물 23KG / 개인모니터/왕복기내식 제공   풀캐리어 서비스 입니다."
2024-05-13 13:09:48,캐리골프투어,"1안 ) 6월5일 출발 >> 6월 9일 도착     1,070,000원/인
2안 ) 6월6일 출발 >> 6월 10일 도착      870,000원/인"
2024-05-13 13:10:29,캐리골프투어,4인 출발과 6인 출발 가격 변동 없고 동일 요금입니다.
2024-05-13 14:11:19,dj,확인하고 다시 연락드리겠습니다 
2024-05-13 14:15:32,캐리골프투어,네 알겠습니다
