DATE,USER,MESSAGE
2024-05-30 07:24:08,聖人望六半百爾한영욱,안녕하세요 
2024-05-30 07:24:08,캐리골프투어,채팅 운영시간 안내
2024-05-30 07:24:08,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-30 07:24:24,聖人望六半百爾한영욱,블랙스톤패키지 문의요
2024-05-30 07:24:24,캐리골프투어,채팅 운영시간 안내
2024-05-30 07:24:24,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-05-30 09:06:36,캐리골프투어,안녕하세요 몇분이실까요?
2024-05-30 09:19:54,聖人望六半百爾한영욱,4명 인데요 일정좀^^
2024-05-30 09:21:03,캐리골프투어,블랙스톤 패키지는 6/17 ~ 7월까지 가능하십니다.
2024-05-30 09:22:26,聖人望六半百爾한영욱,6.18~20 일정입니다
2024-05-30 09:22:46,캐리골프투어,네 확인 감사합니다 견적 확인 후 안내드려도 될까요?
2024-05-30 09:22:58,캐리골프투어,항공은 발권하셨을까요?
2024-05-30 09:24:58,聖人望六半百爾한영욱,다포함 아닌가요
2024-05-30 09:25:06,聖人望六半百爾한영욱,블랙스톤패키지요
2024-05-30 09:25:31,캐리골프투어,네 맞습니다. 출발 지역이 어디실까요?
2024-05-30 09:29:11,캐리골프투어,사진
2024-05-30 09:31:20,캐리골프투어,"✅포함사항 :
✈️항공
⛳그린피
⛳제주 사이프러스 골프장(코스 랜덤 배정) 18홀
⛳제주 블랙스톤 골프장 18홀🍊중문 베니키아 호텔 또는 동급 (2인1실) 2박
🍊조식뷔페
🍊렌트카 

✅ 불포함사항
카트피
캐디피
중,석식

참고 부탁드립니다."
2024-05-30 09:33:40,聖人望六半百爾한영욱,김포요
2024-05-30 09:33:53,聖人望六半百爾한영욱,가격문의드려요
2024-05-30 09:34:14,캐리골프투어,네 확인 감사합니다. 견적 확인 후 안내드려도 될까요?
2024-05-30 09:34:47,聖人望六半百爾한영욱,네
2024-05-30 09:35:32,캐리골프투어,네 감사합니다.
2024-05-30 09:37:50,聖人望六半百爾한영욱,게릴라초특가 6.18~20 일정 가능할까요
2024-05-30 09:38:07,聖人望六半百爾한영욱,제주요
2024-05-30 09:38:19,聖人望六半百爾한영욱,6.25 이던데요 
2024-05-30 09:40:12,캐리골프투어,지정일 특가상품이라서 말씀하신 일정은 불가하세요.
2024-05-30 09:52:55,聖人望六半百爾한영욱,"게릴라초특가 6.18~20 일정,가격요"
2024-05-30 09:52:58,聖人望六半百爾한영욱,제주
2024-05-30 09:54:18,캐리골프투어,말씀하신 일정은 일반 견적으로 드려야하는데 확인해드릴까요?
2024-05-30 10:09:11,聖人望六半百爾한영욱,네
2024-05-30 10:10:16,캐리골프투어,블랙스톤 패키지와 게릴라 초특가 일반 견적 모두 확인해드릴까요?
2024-05-30 10:10:44,聖人望六半百爾한영욱,6.18~20 가능일정만요
2024-05-30 10:11:11,캐리골프투어,네 확인 감사합니다.
2024-05-30 10:12:52,캐리골프투어,블랙스톤 패키지 먼저 견적 보내드립니다.
2024-05-30 10:12:54,캐리골프투어,"항공
6/18 김포제주 08:20 아시아나
6/20 제주김포 16:55 아시아나

골프 
6/18 사이프러스 13:01 
6/19 블랙스톤 08:08
6/20 라운딩 해당없음

숙박
6/18 체크인 베니키아 중문호텔
조식 2회포함 

차량  
카니발 18일 09:00~ 20일 16:00(고급자차포함)

1인 견적가 659,000원"
2024-05-30 10:34:48,聖人望六半百爾한영욱,가게되면 신청하께요  동반자문의하구요
2024-05-30 10:36:32,캐리골프투어,게릴라 일반견적 보내드립니다.
2024-05-30 10:36:33,캐리골프투어,"항공
6/18 김포제주 08:20 아시아나
6/20 제주김포 16:55 아시아나

골프
6/18 롯데 스카이힐 대중제 13:38
6/19 블랙스톤 08:08
6/20 라운딩 해당없음

숙박
6/18 체크인 블랙스톤호텔
조식 불포함

차량
카니발 18일 09:00~ 20일 16:00(고급자차포함)

1인 견적가 617,000원"
2024-05-30 10:36:41,캐리골프투어,네 감사합니다 좋은하루 보내세요^^
2024-05-30 13:07:45,캐리골프투어,아시아나 할인석이라 빠지면 항공료때문에 금액은 올라갈수있는 점 참고 부탁드립니다.
2024-05-30 13:09:02,聖人望六半百爾한영욱,네
2024-05-30 13:10:31,캐리골프투어,네 확인 감사합니다.
