DATE,USER,MESSAGE
2024-09-24 11:21:11,경선,안녕하세요.
2024-09-24 11:21:29,경선,라라라  상품을 보긴했는데
2024-09-24 11:22:41,경선,미리 항공티켓을 받아놓은상태여서 28일 29일 골프장과 숙소 렌트카등 가능할까요?
2024-09-24 11:56:10,캐리골프투어,안녕하세요. 10월 28일 일정이실까요?
2024-09-24 11:56:38,경선,27일 저녁비행기이구요
2024-09-24 11:56:59,경선,28일 29일 골프   27.28. 29 숙박 및 렌트 입니다.
2024-09-24 11:57:52,캐리골프투어,네 10월 이실까요?
2024-09-24 11:58:00,경선,9월 입니다.
2024-09-24 11:58:09,캐리골프투어,네 몇분이실까요?
2024-09-24 11:58:16,경선,2인 입니다.
2024-09-24 11:58:23,경선,항공은 왕복 모두 있습니다.
2024-09-24 11:59:59,캐리골프투어,"임박 건이셔서 조인이 안되실 수도 있으십니다.
조인 안되시면 2인 플레이 하셔야 하십니다.
괜찮으실까요?"
2024-09-24 12:00:19,경선,혹시 구장과 금액 알 수 있을까요?
2024-09-24 12:00:52,캐리골프투어,네 2인 플레이 가능 구장으로 견적 확인 후 안내드려도 될까요?
2024-09-24 12:01:01,경선,넵 부탁드리겠습니다.
2024-09-24 12:01:08,캐리골프투어,네 감사합니다^^
2024-09-24 12:44:48,캐리골프투어,"*상품구성 :
■09/27(금) 크라운CC호텔 2박
■09/28(토) 크라운 08시대
■09/29(일) 에코랜드 08시전후 
■09/27(금) K5급 3일 고급자차포함

포함 : 
- 호텔료 2박
- 18홀 2회 그린피
- 렌트카 3일

불포함 :
- 왕복항공료 
- 카트비
- 캐디피 
- 전일정 식사



1인 견적가: 495,000원

총 액 :
990,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-09-24 12:44:52,캐리골프투어,견적 안내드립니다^^
