DATE,USER,MESSAGE
2024-10-12 23:39:30,도림 하부식,"11.23(토)~25(월)
부산출발 
4인(1팀) 견적 요청합니다."
2024-10-12 23:39:30,캐리골프투어,채팅 운영시간 안내
2024-10-12 23:39:30,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-10-14 08:44:50,캐리골프투어,안녕하세요. 혹시 보신 상품 있으실까요?
2024-10-14 08:51:37,도림 하부식,"이것저것 보았습니다.
최고급은 아니지만 가성비 좋은 상품 추천해주세요.
제주도는 라운딩 자주 갑니다."
2024-10-14 08:51:37,캐리골프투어,채팅 운영시간 안내
2024-10-14 08:51:37,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-10-14 09:03:07,캐리골프투어,네 알겠습니다. 견적 확인 후 안내드리도록 하겠습니다^^
2024-10-14 10:34:07,캐리골프투어,"*상품구성 :
■항공 :
11/23(토) 부산제주 06:50  에어부산
11/25(월) 제주부산 17:30  에어부산

■11/23(토) 에어시티호텔 or 동급 호텔 2박 
■11/23(토) 더클래식 2부  
■11/24(일) 더시에나 7 : 52
■11/25(월) 그린필드 8 : 10 
■11/23(토) 카니발 4세대 고급자차보험 포함


포함 : 
- 왕복항공
- 호텔(2인 1실)
- 그린피 3회
- 렌트카

불포함 : 
- 전일정 식사
- 카트비
- 캐디피

1인 견적가: 760,000원 

예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 800,000원 (1인 200,000원)

- 예약금 결제일 : ~10월14일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,240,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,040,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-10-14 10:34:12,캐리골프투어,견적 안내드립니다^^
2024-10-14 10:42:57,도림 하부식,"감사합니다
연락드릴께요"
2024-10-14 10:43:20,캐리골프투어,네 알겠습니다^^
2024-10-14 16:20:46,도림 하부식,"아덴힐리조트 숙소 아덴힐+우리들+엘리시안
상품은 취급안하시나요?"
2024-10-14 16:21:29,캐리골프투어,네 가능하십니다. 견적 확인 후 안내드리도록 하겠습니다^^
2024-10-14 18:41:21,캐리골프투어,"*상품구성 :
■항공 :
11/23(토) 부산제주 07:30 에어부산
11/25(월) 제주부산 17:30 에어부산

■11/23(토) 아덴힐 골프텔 42평 2박
■11/23(토) 더시에나 12시중반
■11/24(일) 아덴힐 8시전후
■11/25(월) 엘리시안 대중 1부
■11/23(토) k5 고급자차보험 포함 3일


포함 :
- 왕복항공
- 골프텔(2인 1실)
- 그린피 3회
- 렌트카 3일

불포함 :
- 전일정 식사
- 카트비
- 캐디피

1인 견적가: 837,000원

예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 800,000원 (1인 200,000원)

- 예약금 결제일 : ~10월15일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 2,548,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 3,348,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-10-14 18:41:26,캐리골프투어,견적 안내드립니다^^
2024-10-14 18:41:55,캐리골프투어,우리들은 신규 견적이 불가하여 시에나로 변경하였습니다^^
