DATE,USER,MESSAGE
2024-03-01 15:08:05,캐리골프투어,"'캐리골프투어' 입니다.  궁금한 내용이 있으면 메시지를 입력해주세요.
더 이상 채팅을 원치 않으시면 채팅목록에서 '채팅방 나가기'를 해 주세요."
2024-03-01 15:08:35,틴에이져스,골프 투어 상품 문의
2024-03-01 15:08:35,캐리골프투어(메뉴),"지역(상품명), 일정, 인원수 적어주시면 자세히 상담해 드리겠습니다."
2024-03-01 15:11:40,틴에이져스,"광중2인 부부입니다. 일정은 5월 17(금),18 (토),비행기표는 17일 8시대 출 ,18일 오후6시 출발시간 으로 예약했습니다. 블랙스톤cc로 골프는 2번치는걸루 하고싶어요. "
2024-03-01 16:00:11,캐리골프투어,네 안녕하세요 22일은 마감되었습니다.
2024-03-01 16:00:27,틴에이져스,22일요? 
2024-03-01 16:00:28,캐리골프투어,23일 . 29일.  30일  접수 가능하십니다.
2024-03-01 16:00:41,틴에이져스,"5월 17,18"
2024-03-01 16:01:59,캐리골프투어,아 네 http://pf.kakao.com/_xniJnG/104302400 해당 상품 문의 아니실까요?
2024-03-01 16:08:43,틴에이져스,아..4월 29일 출 30일출 좋은데요.
2024-03-01 16:08:56,틴에이져스,항공권을 아직 못구해서요
2024-03-01 16:09:59,캐리골프투어,"네 예약접수가능하세요 
2인 출발공항이 어디이실까요?"
2024-03-01 16:10:17,틴에이져스,광주공항이요
2024-03-01 16:10:43,캐리골프투어,네 확인후 안내드리겠습니다
2024-03-01 16:15:55,틴에이져스,30일 신청할게요.
2024-03-01 16:16:04,틴에이져스,항공권 구했어요.
2024-03-01 16:16:53,캐리골프투어,"네네 알겠습니다. 

계좌 안내입니다. >>>>>>>>


국민 680401-00-036929- 캐리골프투어

예약금은 20만원입니다.


입금자명과 아래 양식으로 명단 부탁드립니다. 

(대표자 연락처/동반자 생년월일/성별 ) 

ex) 대표자 홍길동 19701010 남                     
       연락처 010 .0000.0000

      동반자  홍길동19711010 여"
2024-03-01 16:20:46,캐리골프투어,29.30일 / 30.31일 양일 중 어느일정이실까요?
2024-03-01 16:21:13,틴에이져스,4월 30일이요
2024-03-01 16:22:03,틴에이져스,저는 4월30일 5월1일 신청합니다 
2024-03-01 16:22:03,캐리골프투어,네 알겠습니다.
2024-03-01 16:22:18,틴에이져스,"각 380,000이죠?"
2024-03-01 16:23:05,캐리골프투어,네 그렇습니다.  1인 기준  380.000원
2024-03-01 16:23:08,캐리골프투어,입니다.
2024-03-01 16:23:36,틴에이져스,혹시 통화가능하세요?
2024-03-01 16:24:03,캐리골프투어,네네 가능합니다.
2024-03-01 16:31:05,틴에이져스,"대표자  박미 1981.02.12 여
 연란처   01055122039

동반자  임진섭 1979.01.14 남"
2024-03-01 16:33:01,캐리골프투어,네 확인했습니다. 자차포험은 저희가 부담 해드리겠습니다.
2024-03-01 16:34:38,캐리골프투어,박미 고객님 예약금 20만원 확인했습니다
2024-03-01 16:35:06,캐리골프투어,접수진행하겠습니다.
2024-03-01 16:35:13,틴에이져스,네~ 롯데스카이 회원제변경시 각 3만원 인가요?
2024-03-01 16:35:36,틴에이져스,회원제가 많이 좋나요?
2024-03-01 16:35:43,틴에이져스,차이가클까요?
2024-03-01 16:36:14,캐리골프투어,"회원제 코스는 대중제 코스보다 전장이 조금 더 길며, 난이도가 높은 편입니다."
2024-03-01 16:36:20,틴에이져스,티업시간 최대한 느린시간 부탁 합니당
2024-03-01 16:36:48,캐리골프투어,네 말씀대로 요청넣겠습니다.
