DATE,USER,MESSAGE
2024-07-27 18:08:35,황금망고,10월초 부산출발 일정은 없나요?
2024-07-27 18:08:35,캐리골프투어,채팅 운영시간 안내
2024-07-27 18:08:35,캐리골프투어,지금은 캐리골프투어의 채팅 가능한 시간이 아닙니다. 내용을 남겨주시면 채팅이 가능한 시간에 답변 드리겠습니다.
2024-07-28 10:22:55,캐리골프투어,안녕하세요 익일 확인 드려되 될까요?
2024-07-28 10:28:25,황금망고,네 
2024-07-28 10:35:56,캐리골프투어,"희망 상품과 일정/인원 남겨주시면
확인후 안내드리도록하겠습니다~"
2024-07-28 10:44:42,황금망고,"남4명
부산출발 일본골프
10월 678예정"
2024-07-28 10:55:56,캐리골프투어,"네 확인 감사합니다. 
삿포로 북해도.시즈오카. 동경 오사카.구마모토.등 혹시 선호 지역이 있으실까요?"
2024-07-28 11:25:15,황금망고,가까운지역
2024-07-28 11:26:42,캐리골프투어,네 알겠습니다.
2024-07-29 16:56:06,캐리골프투어,안녕하세요 일본 후쿠오카 견적 안내드립니다.
2024-07-29 16:56:08,캐리골프투어,"*상품구성 :
■항공 :
10/6(일) 부산출발 07:30 - 후쿠오카 08:30 (BX148)
10/8(화) 후쿠오카 19:55 - 부산도착 21:00 (BX143)

■9/14(토) 다이와로이넷 하카타기온 트윈 (조식) 또는 동급 2박 2객실
■10/6(일) 11시후반대 쇼타이잔CC 또는 동급 18홀 (셀프+카트) *클럽식X  
■10/7(월) 9시대 치쿠시노CC 또는 동급 18홀 (셀프+카트) *클럽식X 
■10/8(화) 9시대 JR우치노CC 또는 동급 18홀 (셀프+카트) *클럽식X 

포함 : 후쿠오카왕복항공권, 숙박비 2박, 조식2회, 그린피+카트피+락커피 54홀, 전 일정 호텔-골프장-공항간 송영차량, 해외여행자보험
불포함 : 캐디피, 중식, 석식, 기타개별경비

1인 견적가: 1,510,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,200,000원 (1인 300,000원)

- 예약금 결제일 : ~07월29일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 4,840,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 6,040,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-07-29 16:56:31,캐리골프투어,구마모토 상품은 견적 확인 되는대로 안내드리겠습니다.
2024-07-29 17:35:36,캐리골프투어,"*상품구성 :
■항공 :
10/6(일) 부산출발 07:30 - 후쿠오카 08:30 (BX148)
10/8(화) 후쿠오카 19:55 - 부산도착 21:00 (BX143)

■10/6(일) 와스키 츠카사칸 온천호텔 <2인1실> 2박 2객실
■10/6(일) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐 / 히고오즈 / 히고선밸리 / 그랜드챔피언 / 기쿠치 중 1곳
■10/7(월) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐 / 히고오즈 / 히고선밸리 / 그랜드챔피언 / 기쿠치 중 1곳
■10/8(화) 그랑비리오 / 아카미즈 / 트라이얼 / 미나미아소 / 그린힐 / 히고오즈 / 히고선밸리 / 그랜드챔피언 / 기쿠치 중 1곳

포함 : 
- 왕복항공료
- 전일정 호텔료 (2인1실)
- 그린피, 카트피
- 송영비용 (공항-골프장-호텔)
- 조식
- 여행자보험

불포함 : 
- 클럽중식
- 석식(호텔 주변 식당 개별 이용)

1인 견적가: 1,220,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,200,000원 (1인 300,000원)

- 예약금 결제일 : ~07월29일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 3,680,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 4,880,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-07-29 17:35:49,캐리골프투어,구마모토 상품 견적 안내드립니다.
2024-07-29 17:36:40,캐리골프투어,"*상품구성 :
■항공 :
10/6(일) 부산출발 07:30 - 후쿠오카 08:30 (BX148)
10/8(화) 후쿠오카 19:55 - 부산도착 21:00 (BX143)

■10/6(일) 다이와로이넷 하카타기온 트윈 (조식) 또는 동급 2박 2객실
■10/6(일) 11시후반대 쇼타이잔CC 또는 동급 18홀 (셀프+카트) *클럽식X
■10/7(월) 9시대 치쿠시노CC 또는 동급 18홀 (셀프+카트) *클럽식X
■10/8(화) 9시대 JR우치노CC 또는 동급 18홀 (셀프+카트) *클럽식X

포함 : 후쿠오카왕복항공권, 숙박비 2박, 조식2회, 그린피+카트피+락커피 54홀, 전 일정 호텔-골프장-공항간 송영차량, 해외여행자보험
불포함 : 캐디피, 중식, 석식, 기타개별경비

1인 견적가: 1,510,000원


예약금 입금안내 >>>>>>>>>>>>>>>


①예약금
- 1,200,000원 (1인 300,000원)

- 예약금 결제일 : ~07월29일
* 입출금 내역이 많아 송금후 연락 부탁드립니다.

- 잔 금 결제일 : ~예약완료후 확정서 발송일
②잔 금 :
- 4,840,000원
* 입출금 내역이 많아 송금후 연락부탁드립니다.

③총 액 :
① + ② = 6,040,000원

입금계좌 :
680401-00-036929 국민은행 캐리골프투어"
2024-07-29 17:36:49,캐리골프투어,후쿠오카 상품도 견적 다시 안내드립니다.
