DATE,USER,MESSAGE
2024-06-27 10:12:25,🌐,5인골프 가능한곳 있을까여
2024-06-27 10:16:51,캐리골프투어,안녕하세요 어떤 상품 보셨을까요?
2024-06-27 10:38:26,🌐,삿 포르 메리어트요
2024-06-27 10:41:12,캐리골프투어,네 3박4일 희망 출발 일정이  어떻게 되실까요?
2024-06-27 14:21:58,🌐,네 7월10일 이후 생각하고 있습니다
2024-06-27 14:29:39,캐리골프투어,"5인 출발시 2인+3인라운딩으로 진행 가능합니다

3인 / 2인 플레이 추가비용(기준:1일/1인)
   ★ 치토세공항 ▷ 3인: 1,100엔(평일,주말) ▶ 2인: 1,100엔(평일,주말)
   ★ 유니토부   ▷ 3인:   550엔(평일,주말) ▶ 2인: 2,200엔(평일,주말)"
2024-06-27 14:29:55,캐리골프투어,견적 확인 드릴까요?
2024-06-27 14:54:22,🌐,네 감사합니다 
2024-06-27 14:54:59,캐리골프투어,네 항공은 발권 하셨을까요?
2024-06-27 14:57:09,🌐,아직요
2024-06-27 15:56:15,캐리골프투어,네 항공 포함한 견적 확인 후 안내드리겠습니다.
2024-06-27 15:56:45,캐리골프투어,출발 공항이 어디실까요?
2024-06-27 17:06:47,🌐,인천 터미널2에서 출발하려고 합니다
2024-06-27 17:07:11,캐리골프투어,네 확인 감사합니다.
2024-06-27 17:15:30,캐리골프투어,현재 7/10일자는 삿포로 시내호텔 상품은 마감이구요 리조트 상품으로 확인해봐야합니다 확인 드려 볼까요?
